"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"1154","IL16","CCR5",171.125,2,67.3387096774194,3,"cytokine"
"1203","IL16","KCNA3",238.193717277487,4,48.3489583333333,2,"cytokine"
"98","CCL3L1","CCR1",44.98125,6,253.64880952381,7,"cytokine"
"1015","IL10","IL10RB",120.5875,6,94.5677083333333,2,"cytokine"
"114","CCL3L1","CCR1",44.6073298429319,4,253.64880952381,7,"cytokine"
"1107","IL16","CCR5",222.220238095238,8,50.84375,2,"cytokine"
"584","CCL4","CCR8",1083.89664804469,1,10.3821989528796,4,"cytokine"
"1032","IL10","SIRPG",120.5875,6,93.1536312849162,1,"cytokine"
"145","CCL3L1","CCR5",67.1607142857143,8,165.952380952381,8,"cytokine"
"431","CCL3","CCR5",219.02688172043,3,50.84375,2,"cytokine"
"147","CCL3L1","CCR5",67.1607142857143,8,164.8125,6,"cytokine"
"1201","IL16","KCNA3",238.193717277487,4,46.1989528795811,4,"cytokine"
"1088","IL15","IL2RG",7.07329842931937,4,1547.78475336323,5,"cytokine"
"1216","IL16","KCNA3",171.125,2,63.9058295964126,5,"cytokine"
"504","CCL4","CCR1",1297.66145833333,2,8.41620111731844,1,"cytokine"
"1094","IL15","IL2RG",5.53351955307263,1,1971.85119047619,7,"cytokine"
"344","CCL3","CCR4",563.077380952381,7,19.1785714285714,7,"cytokine"
"1171","IL16","KCNA3",222.220238095238,8,48.3489583333333,2,"cytokine"
"294","CCL3","CCR1",450.21875,6,23.7311827956989,3,"cytokine"
"1340","IL2","IL2RG",8.47533632286996,5,1253.96335078534,4,"cytokine"
"153","CCL3L1","CCR5",63.6607142857143,7,165.952380952381,8,"cytokine"
"986","CXCL16","CXCR6",5.0625,2,2076.08928571429,7,"cytokine"
"1206","IL16","KCNA3",201.220430107527,3,52.1428571428571,7,"cytokine"
"155","CCL3L1","CCR5",63.6607142857143,7,164.8125,6,"cytokine"
"1316","IL2","CD53",8.47533632286996,5,1236.60625,6,"cytokine"
"580","CCL4","CCR8",1004.43946188341,5,10.3821989528796,4,"cytokine"
"1175","IL16","KCNA3",309.875,7,33.43125,6,"cytokine"
"220","CCL3L3","CCR5",79.4345238095238,7,130.318385650224,5,"cytokine"
"83","CCL3L1","CCR1",67.1607142857143,8,154.0375,6,"cytokine"
"325","CCL3","CCR1",147.65625,2,69.9528795811518,4,"cytokine"
"1218","IL16","KCNA3",171.125,2,60.2096774193548,3,"cytokine"
"1169","IL16","KCNA3",222.220238095238,8,46.1989528795811,4,"cytokine"
"1147","IL16","CCR5",201.220430107527,3,50.84375,2,"cytokine"
"1095","IL15","IL2RG",5.53351955307263,1,1843.375,6,"cytokine"
"444","CCL3","CCR5",77.8631284916201,1,130.318385650224,5,"cytokine"
"1317","IL2","CD53",8.47533632286996,5,1196.97757847534,5,"cytokine"
"280","CCL3","CCR1",1185.625,8,8.41620111731844,1,"cytokine"
"1183","IL16","KCNA3",297.63125,6,33.43125,6,"cytokine"
"962","CXCL13","CXCR5",1447.1,6,6.87434554973822,4,"cytokine"
"438","CCL3","CCR5",147.65625,2,67.3387096774194,3,"cytokine"
"976","CXCL13","CXCR5",450.532258064516,3,21.9385474860335,1,"cytokine"
"242","CCL3L3","CCR5",48.6649214659686,4,202.815476190476,7,"cytokine"
"91","CCL3L1","CCR1",63.6607142857143,7,154.0375,6,"cytokine"
"212","CCL3L3","CCR5",74.7261904761905,8,130.318385650224,5,"cytokine"
"1211","IL16","KCNA3",201.220430107527,3,48.3489583333333,2,"cytokine"
"1191","IL16","KCNA3",282.973094170404,5,33.43125,6,"cytokine"
"225","CCL3L3","CCR5",56.90625,6,165.952380952381,8,"cytokine"
"227","CCL3L3","CCR5",56.90625,6,164.8125,6,"cytokine"
"341","CCL3","CCR4",1185.625,8,7.87096774193548,3,"cytokine"
"348","CCL3","CCR4",563.077380952381,7,16.5586592178771,1,"cytokine"
"1209","IL16","KCNA3",201.220430107527,3,46.1989528795811,4,"cytokine"
"106","CCL3L1","CCR1",36.4708520179372,5,253.64880952381,7,"cytokine"
"1093","IL15","IL2RG",5.53351955307263,1,1663.55357142857,8,"cytokine"
"234","CCL3L3","CCR5",45.2780269058296,5,202.815476190476,7,"cytokine"
"122","CCL3L1","CCR1",36.1774193548387,3,253.64880952381,7,"cytokine"
"972","CXCL13","CXCR5",416.947643979058,4,21.9385474860335,1,"cytokine"
"1314","IL2","CD53",8.47533632286996,5,1078.77976190476,8,"cytokine"
"162","CCL3L1","CCR5",44.98125,6,202.815476190476,7,"cytokine"
"512","CCL4","CCR1",1083.89664804469,1,8.41620111731844,1,"cytokine"
"178","CCL3L1","CCR5",44.6073298429319,4,202.815476190476,7,"cytokine"
"1116","IL16","CCR5",309.875,7,29.1368715083799,1,"cytokine"
"1214","IL16","KCNA3",171.125,2,52.1428571428571,7,"cytokine"
"1089","IL15","IL2RG",7.07329842931937,4,1253.96335078534,4,"cytokine"
"1341","IL2","IL2RG",8.47533632286996,5,1043.24731182796,3,"cytokine"
"148","CCL3L1","CCR5",67.1607142857143,8,130.318385650224,5,"cytokine"
"1155","IL16","CCR5",171.125,2,50.84375,2,"cytokine"
"1318","IL2","CD53",8.47533632286996,5,1025.0942408377,4,"cytokine"
"1161","IL16","CCR5",97.3491620111732,1,89.2146596858639,4,"cytokine"
"1124","IL16","CCR5",297.63125,6,29.1368715083799,1,"cytokine"
"350","CCL3","CCR4",450.21875,6,19.1785714285714,7,"cytokine"
"1096","IL15","IL2RG",5.53351955307263,1,1547.78475336323,5,"cytokine"
"329","CCL3","CCR1",77.8631284916201,1,109.607142857143,8,"cytokine"
"480","CCL4","CCR1",1004.43946188341,5,8.41620111731844,1,"cytokine"
"250","CCL3L3","CCR5",41.3924731182796,3,202.815476190476,7,"cytokine"
