"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"1983","DUSP18","ITGA1",35.8928571428571,7,141.564245810056,1,"other"
"3372","GPI","AMFR",302.238095238095,7,16.8072916666667,2,"other"
"7938","TNFSF10","TNFRSF10B",117.443946188341,5,43.2261904761905,7,"other"
"231","ADAM17","ITGB1",30.252688172043,3,167.807174887892,5,"other"
"7277","PSEN1","NOTCH2",83.7678571428571,8,60.5952380952381,7,"other"
"3457","GSTP1","TRAF2",122.801047120419,4,41.322869955157,5,"other"
"1736","CALR","ITGAV",281.408071748879,5,18.0261780104712,4,"other"
"2806","GNAI2","ADCY7",49.4217877094972,1,102.607142857143,8,"other"
"5199","HLA-G","KLRC1",55.7797619047619,7,90.8869047619048,7,"other"
"2784","GNAI2","ADCY7",51,4,99.39375,6,"other"
"6880","OSM","IL6ST",25.6927374301676,1,197.291666666667,8,"other"
"3324","GNAS","PTGDR",296.843049327354,5,17.075,6,"other"
"8105","TNF","TNFRSF1A",90.9114583333333,2,55.71875,6,"other"
"6355","LRPAP1","SORL1",78.5811518324607,4,64.453125,2,"other"
"6246","LRPAP1","LDLR",81.875,6,61.8452380952381,7,"other"
"6241","LRPAP1","LDLR",87.1369047619048,7,58.1047120418848,4,"other"
"2158","DUSP18","ITGB1",35.8928571428571,7,140.963541666667,2,"other"
"1721","CALR","ITGAV",398.446428571429,7,12.6860986547085,5,"other"
"2809","GNAI2","ADCY7",49.4217877094972,1,101.865470852018,5,"other"
"7155","PSEN1","NCSTN",83.7678571428571,8,60.0977653631285,1,"other"
"5214","HLA-G","KLRC1",50.0224215246637,5,100.625,8,"other"
"6798","NUCB2","ERAP1",71.8376963350785,4,70.015625,2,"other"
"5206","HLA-G","KLRC1",49.95625,6,100.625,8,"other"
"8111","TNF","TNFRSF1A",70.2765363128492,1,71.4583333333333,8,"other"
"7177","PSEN1","NCSTN",79.2600896860987,5,63.2634408602151,3,"other"
"232","ADAM17","ITGB1",30.252688172043,3,165.680628272251,4,"other"
"7917","TNFSF10","TNFRSF10B",204.767857142857,8,24.4659685863874,4,"other"
